Date,,,Sleep,,,Work,,Recovery,,,Wellbeing,,Training,,,Notes
Date,Bed Time,Awake Time,"Sleep
Hours","Sleep
Quality",Nap Hours,"Work Physical
Load","Work
Hours","Muscle
Soreness","Joint Pain /
Tightness","Overall
Fatigue",Mood,"Life
Stress","Training
Motivation","Trained
Today?","Session
Quality",Notes
14/03/2026,,,8,7,0,1,0,2,3,2,5,4,7,Yes,8,I have a bit of pain in the left shoulder from the benching session on Friday
15/03/2026,,,8.5,6,1,1,0,1,2,2,6,4,8,Yes,8,
16/03/2026,,,5,4,1.5,7,8,3,3,3,5,4,,No,,"mid-back is sore from the conditioning session, a bit of lower back pain as well"
17/03/2026,,,5,4,1,4,8,2,2,3,4,4,5,Yes,6,
18/03/2026,,,6,8,1.5,9,8,4,2,3,6,7,8,Yes,7,"grip is giving out, I was doing weighted pull ups the night before "
19/03/2026,,,6,6,1,10,8,3,3,3,5,5,,No,,my hands hurt 
20/03/2026,,,7,7,1.5,8,8,3,2,4,5,6,9,Yes,5,left shoulder pain from benching
21/03/2026,,,8.5,8,0,1,0,4,3,4,7,5,3,Yes,9,
22/03/2026,,,9,8,0,1,0,3,2,3,7,4,6,Yes,7,"left shoulder pain is getting worse, it's worse from Overhead press"
23/03/2026,,,6,6,0,5,10,2,5,4,5,4,,No,,
24/03/2026,,,6,8,0,5,8,2,4,2,6,4,4,Yes,8,
25/03/2026,,,7.5,3,1,4,8,3,4,4,5,4,,No,,
26/03/2026,,,6,6,1.5,5,8,2,4,2,5,4,5,Yes,6,
27/03/2026,,,6.5,7,0,3,8,2,4,4,4,3,,No,,
28/03/2026,,,8.5,9,0,1,0,2,3,3,6,3,9,Yes,7,
29/03/2026,,,4.5,9,1,1,0,4,3,3,5,3,3,Yes,7,"hanging out until late, so I went to be unusually late"
30/03/2026,,,10,4,0,1,0,4,3,5,4,3,,No,,"first day calling in sick, I have the flu"
31/03/2026,,,8,8,0,1,0,4,4,6,4,4,,No,,"second day calling in sick, today I feel better"
01/04/2026,,,7,5,0.5,6,8,4,4,4,4,6,,No,,
02/04/2026,,,6,4,0,8,8,4,3,3,5,5,,No,,
03/04/2026,,,6,8,1,6,4,3,3,2,5,8,9,Yes,2,
04/04/2026,,,8.5,7,0,1,0,4,3,3,7,3,,No,,
05/04/2026,,,8,6,1,1,0,2,3,1,8,2,,No,,
06/04/2026,,,9,8,1,1,0,1,3,1,7,3,,No,,
07/04/2026,,,7.5,8,0,3,8,1,3,1,5,5,9,Yes,6,low quality workout because I had to cut it short 
08/04/2026,,,6,8,1,6,8,2,4,3,5,5,9,Yes,9,
09/04/2026,,,7.5,8,0,6,8,4,4,4,6,4,,No,,
10/04/2026,,,7,7,1.5,5,8,4,4,4,4,3,7,Yes,9,
11/04/2026,,,7,8,0,1,0,4,3,5,5,3,6,Yes,6,I woke up by myself after 7 hours even though usually I like to sleep in on the weekends. For training I wasn't really hyped and got tired after deadlifts
12/04/2026,,,8.5,7,0,1,0,4,3,4,5,3,6,Yes,4,"I failed weights that are typically doable, took too long and didn't finish my workout "
13/04/2026,,,7,6,1,3,8,7,3,4,5,3,,No,,
14/04/2026,,,7.5,8,0,4,8,5,3,4,5,3,8,Yes,9,
15/04/2026,,,7.5,6,0.75,6,8,7,3,5,5,3,8,Yes,9,
16/04/2026,,,6,6,0,3,8,6,2,4,5,3,,,,
17/04/2026,,,6,8,2,1,8,5,2,4,6,3,8,Yes,9,
18/04/2026,,,7,6,0,1,0,6,4,5,7,2,7,Yes,7,"couldn't Squat after Sumo, pain in the upper quad"
19/04/2026,,,8,8,0,1,0,5,4,4,7,2,9,Yes,9,
20/04/2026,,,6,8,0,3,8,5,5,2,6,2,,No,,
21/04/2026,,,6,6,0,7,8,3,5,3,4,3,,No,,
22/04/2026,,,8,9,1,8,8,2,4,4,5,3,8,Yes,7,"still pain during Squat, can't go proper depth, might be Bulgarian SS"
23/04/2026,,,6,8,0,7,8,4,3,5,5,3,4,Yes,9,
24/04/2026,,,7,9,1,6,8,6,4,5,6,3,,No,,
25/04/2026,,,6.5,9,0,1,0,4,3,4,6,3,6,Yes,5,"tired, skipped 3 arm exercises "
26/04/2026,,,8,8,0,1,0,3,3,3,6,4,5,Yes,5,"pain squatting, lower deadlift, skip BG squat for more leg extension "
27/04/2026,,,8,8,1,1,0,4,2,4,4,4,,No,,
28/04/2026,,,6,9,1,6,8,4,2,4,5,4,,No,,
29/04/2026,,,6,8,1,4,8,3,2,4,4,4,,No,,
30/04/2026,,,4,4,1,5,8,1,2,6,3,5,,No,,
01/05/2026,,,5,8,1,7,8,1,1,5,3,5,3,Yes,7,
02/05/2026,,,7,7,0,1,0,1,1,3,5,3,4,Yes,7,
03/05/2026,,,7,8,1.75,1,0,3,2,3,5,3,,No,,
04/05/2026,,,5,8,1,4,8,3,2,5,4,3,,No,,
05/05/2026,,,5,7,0,6,8,2,1,3,4,3,5,Yes,6,
06/05/2026,,,5.5,8,3,8,8,3,1,6,4,3,7,Yes,8,
07/05/2026,12:08:00,05:50:00,5.5,6,0,5,8,2,1,4,5,3,,No,,
08/05/2026,22:45:00,06:00:00,7,9,1,3,8,1,1,3,6,3,7,Yes,8,
09/05/2026,23:40:00,08:20:00,8.5,8,,,0,,,,,,,,,
10/05/2026,,,,,,,0,,,,,,,,,
11/05/2026,,,,,,,,,,,,,,,,
12/05/2026,,,,,,,,,,,,,,,,
13/05/2026,,,,,,,,,,,,,,,,
14/05/2026,,,,,,,,,,,,,,,,
15/05/2026,,,,,,,,,,,,,,,,
16/05/2026,,,,,,,,,,,,,,,,
17/05/2026,,,,,,,,,,,,,,,,
18/05/2026,,,,,,,,,,,,,,,,
19/05/2026,,,,,,,,,,,,,,,,
20/05/2026,,,,,,,,,,,,,,,,
21/05/2026,,,,,,,,,,,,,,,,
22/05/2026,,,,,,,,,,,,,,,,
23/05/2026,,,,,,,,,,,,,,,,
24/05/2026,,,,,,,,,,,,,,,,
25/05/2026,,,,,,,,,,,,,,,,
26/05/2026,,,,,,,,,,,,,,,,
27/05/2026,,,,,,,,,,,,,,,,
28/05/2026,,,,,,,,,,,,,,,,
29/05/2026,,,,,,,,,,,,,,,,
30/05/2026,,,,,,,,,,,,,,,,
31/05/2026,,,,,,,,,,,,,,,,
01/06/2026,,,,,,,,,,,,,,,,
02/06/2026,,,,,,,,,,,,,,,,
03/06/2026,,,,,,,,,,,,,,,,
04/06/2026,,,,,,,,,,,,,,,,
05/06/2026,,,,,,,,,,,,,,,,
06/06/2026,,,,,,,,,,,,,,,,
07/06/2026,,,,,,,,,,,,,,,,
08/06/2026,,,,,,,,,,,,,,,,
09/06/2026,,,,,,,,,,,,,,,,
10/06/2026,,,,,,,,,,,,,,,,
11/06/2026,,,,,,,,,,,,,,,,
12/06/2026,,,,,,,,,,,,,,,,
13/06/2026,,,,,,,,,,,,,,,,
14/06/2026,,,,,,,,,,,,,,,,
15/06/2026,,,,,,,,,,,,,,,,
16/06/2026,,,,,,,,,,,,,,,,
17/06/2026,,,,,,,,,,,,,,,,
18/06/2026,,,,,,,,,,,,,,,,
19/06/2026,,,,,,,,,,,,,,,,
20/06/2026,,,,,,,,,,,,,,,,
21/06/2026,,,,,,,,,,,,,,,,
22/06/2026,,,,,,,,,,,,,,,,
23/06/2026,,,,,,,,,,,,,,,,
24/06/2026,,,,,,,,,,,,,,,,
25/06/2026,,,,,,,,,,,,,,,,
26/06/2026,,,,,,,,,,,,,,,,
27/06/2026,,,,,,,,,,,,,,,,
28/06/2026,,,,,,,,,,,,,,,,
29/06/2026,,,,,,,,,,,,,,,,
30/06/2026,,,,,,,,,,,,,,,,
01/07/2026,,,,,,,,,,,,,,,,
02/07/2026,,,,,,,,,,,,,,,,
03/07/2026,,,,,,,,,,,,,,,,
04/07/2026,,,,,,,,,,,,,,,,
05/07/2026,,,,,,,,,,,,,,,,
06/07/2026,,,,,,,,,,,,,,,,
07/07/2026,,,,,,,,,,,,,,,,
08/07/2026,,,,,,,,,,,,,,,,
09/07/2026,,,,,,,,,,,,,,,,
10/07/2026,,,,,,,,,,,,,,,,
11/07/2026,,,,,,,,,,,,,,,,
12/07/2026,,,,,,,,,,,,,,,,
13/07/2026,,,,,,,,,,,,,,,,
14/07/2026,,,,,,,,,,,,,,,,
15/07/2026,,,,,,,,,,,,,,,,
16/07/2026,,,,,,,,,,,,,,,,
17/07/2026,,,,,,,,,,,,,,,,
18/07/2026,,,,,,,,,,,,,,,,
19/07/2026,,,,,,,,,,,,,,,,
20/07/2026,,,,,,,,,,,,,,,,
21/07/2026,,,,,,,,,,,,,,,,
22/07/2026,,,,,,,,,,,,,,,,
23/07/2026,,,,,,,,,,,,,,,,
24/07/2026,,,,,,,,,,,,,,,,
25/07/2026,,,,,,,,,,,,,,,,
26/07/2026,,,,,,,,,,,,,,,,
27/07/2026,,,,,,,,,,,,,,,,
28/07/2026,,,,,,,,,,,,,,,,
29/07/2026,,,,,,,,,,,,,,,,
30/07/2026,,,,,,,,,,,,,,,,
31/07/2026,,,,,,,,,,,,,,,,
01/08/2026,,,,,,,,,,,,,,,,
02/08/2026,,,,,,,,,,,,,,,,
03/08/2026,,,,,,,,,,,,,,,,
04/08/2026,,,,,,,,,,,,,,,,
05/08/2026,,,,,,,,,,,,,,,,
06/08/2026,,,,,,,,,,,,,,,,
07/08/2026,,,,,,,,,,,,,,,,
08/08/2026,,,,,,,,,,,,,,,,
09/08/2026,,,,,,,,,,,,,,,,
10/08/2026,,,,,,,,,,,,,,,,
11/08/2026,,,,,,,,,,,,,,,,
12/08/2026,,,,,,,,,,,,,,,,
13/08/2026,,,,,,,,,,,,,,,,
